Thứ hạng,Tên Phim,Đạo diễn,Doanh Thu,Năm,Nội dung,Nhóm,cluster
0,Mưa đỏ,Đặng Thái Huyền,714[1],2025,"Bộ phim kể về cuộc chiến đấu bảo vệ Thành cổ Quảng Trị của Cường và các thành viên khác của Tiểu đội 1, Tiểu đoàn K3 Tam Sơn của Quân Giải phóng, chống lại sự tấn công của Quân lực Việt Nam Cộng hòa có sự hỗ trợ của cố vấn và quân đội Mỹ. Cường là sinh viên tại Nhạc viện Hà Nội, nhưng đã từ bỏ cơ hội du học tại Học viện âm nhạc Tchaikovsky để nhập ngũ. Sau khi được huấn luyện một số kỹ năng chiến đấu cơ bản, Cường cùng các tân binh khác lên đường ra mặt trận. Sau khi được Hồng, một cô gái lái đò đưa qua sông Thạch Hãn trong đêm dưới làn đạn pháo của quân đội Việt Nam Cộng Hòa, Cường cùng với Sen, Bình, Tú, và Hải được bổ sung vào Tiểu đội 1 đang chiến đấu tại Thành cổ Quảng Trị. Tiểu đội 1 lúc đó chỉ còn một mình Nông Văn Tạ còn sống, anh là người lớn tuổi nhất so với nhóm tân binh được bổ sung, và là người có kinh nghiệm chiến đấu nhiều nhất, nên trở thành Tiểu đội trưởng của Tiểu đội 1. Trong khi chiến đấu, Cường bị thương nặng, và được đưa ra chữa trị tại Trạm quân y dã chiến bên ngoài Thành cổ. Tại đây, Hồng trong vai trò y tá của Trạm quân y đã chăm sóc hàng ngày cho Cường. Hai người nảy sinh tình cảm và hẹn ước cùng nhau về thăm mẹ của Cường khi đất nước hòa bình. Sau khi được chữa trị, Cường tình nguyện trở lại Thành cổ để chiến đấu cùng Tiểu đội 1. Các thành viên của Tiểu đội 1 đều quyết tâm bảo vệ Thành cổ, với khẩu hiệu ""K3 Tam Sơn còn, Thành cổ còn"", nhưng lần lượt hy sinh, chỉ còn lại Tấn, thành viên nhỏ tuổi nhất và được bổ sung cuối cùng vào Tiểu đội 1.",6,2
1,Mai,Trấn Thành,551[2],2024,"Mai là một cô gái sinh ra trong một gia đình bất hạnh, cô đã từng trải qua một bi kịch không thể kinh khủng hơn. Khi đang ở độ tuổi đẹp nhất của một người con gái, Mai phải làm đủ mọi việc để kiếm tiền hòng tồn tại giữa thành phố hoa lệ. Từ đây, số phận đưa đẩy khiến cô trở thành một cô gái mát-xa. Tất nhiên, khác với những người đồng nghiệp, Mai chỉ ""bán nghệ chứ không bán thân"". Tuy nhiên, công việc này vẫn khiến cô chịu nhiều điều tiếng khi bị xem như gái bán hoa. Cuộc đời Mai bất ngờ rẽ sang hướng khác khi cô gặp Trùng Dương – gã hàng xóm có biệt danh là Sâu sống đối diện căn phòng trọ của cô. Trái ngược với Mai, Dương lại là chàng công tử sinh ra ở vạch đích, chuyển ra ngoài sống chỉ để tìm kiếm cảm hứng sáng tác theo đam mê của mình. Anh sống cuộc đời phóng túng, là tay ""sát gái"" và quyết tâm chiếm lấy Mai sau một lời thách đố với tay bạn thân. Mai có một khách hàng thân thiết là bà Đào, bà xem cô như em gái và cho cô nhiều lời khuyên về cuộc sống, còn Bình Minh – con gái của Mai – là người ủng hộ cuộc tình giữa Dương và Mai. Trong spa, một nữ đồng nghiệp tên Trinh có lòng đố kỵ với Mai, nhốt cô trong phòng thay đồ nhưng cô may mắn được chú bảo vệ cứu thoát. Dương đưa Mai về nhà anh dự tiệc sinh nhật của dì hai, người mà anh gọi là Má Mi. Tại đây Mai phát hiện ra bà Đào chính là mẹ của Dương, song bà Đào không muốn con trai mình kết hôn với một người như Mai, và từ đó hai mẹ con Dương xảy ra tranh cãi. Dương quyết định sống tự lập, không cần tiêu tiền của mẹ mình nữa, từ đó anh chật vật đi tìm việc làm. Mai có một người bố là ông Hoàng, song ông rất ham mê cờ bạc và thường bị giang hồ đòi nợ hết lần này đến lần khác, khiến cho Mai nhiều lần phải trả nợ. Nghe lời động viên của Dương, Mai bắt đầu mạnh mẽ hơn, cô đã la mắng những người xấu tính thường bắt nạt mình trong chung cư, đánh Trinh một trận ở spa rồi tuyên bố nghỉ việc. Một hôm nọ, Dương và Mai được bà Đào gọi về nhà. Bà Đào đề nghị hỗ trợ cho Bình Minh đi du học nước ngoài, nhưng bà yêu cầu Dương và Mai phải chia tay. Ông Hoàng cũng có mặt ở đó, ông đã nhận một số tiền lớn của bà Đào để tiết lộ quá khứ của Mai nhằm tạo áp lực cho cô phải chia tay Dương. Hóa ra, lúc ở quê, Mai từng bị một người đàn ông – thực chất chính là ông Hoàng – đã đẩy cô xuống bờ vực sâu thẳm và vô tình khiến cô mang bầu rồi sinh ra Bình Minh. Cuộc tranh cãi ngày càng căng thẳng khiến bà Đào ngất xỉu. Quá căm giận với bố mình, Mai ném toàn bộ số tiền xuống sân chung cư khiến cho mọi người lao ra nhặt tiền. Trong vụ hỗn loạn đó, ông Hoàng không may té ngã tại bậc thang và đột ngột tắt thở. Dương hẹn hai năm sau gặp lại Mai, anh hứa sẽ thay đổi bản thân và sẽ tiếp tục cuộc tình của họ. Bốn năm sau, Mai trở thành quản lý của một khu nghỉ dưỡng ở Đà Lạt. Lúc này, cô tình cờ gặp lại Dương, người giờ đây đã có vợ, khi đó anh đưa vợ và mẹ đến đây để đi du lịch. Sau khi gặp nhau, Mai rời đi trên xe ôtô và bật khóc khi nghĩ lại về quá khứ đau thương của mình.",4,4
2,Lật mặt 7: Một điều ước,Lý Hải,483[3],2024,"Phim kể về cuộc sống của bà Hai, một bà lão 73 tuổi sống tại làng K'Long K'Lanh ở huyện Lạc Dương, Lâm Đồng. Bà Hai đã tự mình nuôi nấng năm người con khôn lớn sau khi chồng qua đời sớm. Mỗi người con khi trưởng thành đều có cuộc sống riêng và thậm chí đi làm ăn và sinh sống xa nhà mẹ. Một ngày nọ, bà Hai bị tai nạn và bó bột chân, buộc năm người con phải tìm cách về chăm lo cho mẹ. Bà Hai gặp tai nạn và bị thương ở chân. Bé Thu - con gái của Ba Lành - bị đau ruột thừa, phải vào bệnh viện làm phẫu thuật. Chồng của Lành là Ba Dẹo nhậu nhẹt say xỉn suốt ngày chứ không giúp gì cho vợ con. Lành không thể vừa chăm sóc con gái ở bệnh viện vừa chăm sóc mẹ ở nhà cùng lúc. Năm người con của bà Hai đành phải thuê cô gái hàng xóm tên Hiền lo cho bà. Một buổi sáng, bà Hai bị té xuống suối, Hiền hoảng sợ từ chối tiếp tục chăm sóc bà. Năm anh em thảo luận bằng video call, Khôn - Hậu - Thảo - Tâm quyết định thay phiên nhau rước bà Hai về nhà riêng của từng người, mỗi người sẽ chăm sóc bà một tuần cho đến khi Lành giải quyết xong chuyện bé Thu. Người đầu tiên chăm sóc bà Hai là Hai Khôn. Bà Hai được đưa đến thủ đô Hà Nội, gặp cô con dâu Mai, hai cháu nội Huy và Vy. Bà vô tình làm vỡ một kỷ niệm chương của Mai. Khôn bị công ty sa thải, phải chật vật tìm chỗ làm mới. Khôn và Mai la mắng Vy vì cô đánh nhau trong trường, Vy và Huy cũng trách ba mẹ nhiều năm qua không chịu thấu hiểu cho mình. Người tiếp theo chăm sóc bà Hai là Tư Hậu. Bà Hai được đưa đến làng chài ở Ninh Thuận, gặp cô con dâu Tư Thắm, cháu nội Quỳnh, và ông Tám Tàng - ba của Thắm. Gia đình Hậu dẫn bà đi xem lễ hội ở lăng Cá Ông. Sau đó Hậu cùng với bạn bè phải ra khơi đánh cá. Trước khi anh đi, bà Hai đã bảo bé Quỳnh đi mua áo phao cho anh. Một cơn bão lớn ập đến vùng biển, Hậu nhờ có mặc áo phao mà vẫn giữ được mạng trở về với gia đình. Người tiếp theo chăm sóc bà Hai là Năm Thảo. Bà Hai được đưa đến Bảo Lộc, gặp anh con rể Danh, và cháu ngoại Quân. Vợ chồng Thảo đang làm thuê cho một cặp vợ chồng giàu có, nhưng họ dựng lên một màn kịch là họ đang có cuộc sống giàu sang, nói dối với bà Hai rằng họ đang sở hữu căn biệt thự sang trọng và nương rẫy rộng lớn. Ông bà chủ bất ngờ về nhà sớm, vợ chồng Thảo đành phải đưa bà Hai về căn nhà nhỏ của họ. Ông bà chủ tốt bụng khi biết chuyện đã không công khai sự thật mà còn giúp vợ chồng Thảo diễn trọn vẹn ""màn kịch giàu có"". Người tiếp theo chăm sóc bà Hai là Sáu Tâm. Bà Hai được đưa đến Sài Gòn, gặp cô con dâu Thy đang mang bầu. Tâm làm thợ hồ xây nhà lấn qua đất của một bà chủ đất khiến anh rơi vào tình huống tiến thoái lưỡng nan, hoặc là phải bồi thường cho bà chủ đất hoặc là phải bồi thường cho người chủ nhà. Bà Hai đến năn nỉ bà chủ đất bỏ qua cho con trai mình, bất ngờ nhận ra cô con gái của bà chủ đất chính là người khách quen thường ghé nhà bà Hai mỗi khi đi phượt ở Lâm Đồng, cô con gái đã thuyết phục mẹ cô giải quyết ổn thỏa sự cố lấn đất của Tâm. Khi về lại làng K'Long K'Lanh, bà Hai bỏ đi biệt tăm. Năm anh em hay tin liền chạy khắp Đà Lạt tìm bà Hai nhưng không thấy. Thật ra bà Hai đã bán mảnh đất bà đang ở cho bà Thanh - người hàng xóm sống gần đó, đồng thời nhờ bà Thanh giữ 10 tỷ đồng tiền bán đất để chia đều cho năm người con của bà Hai. Từ đó, gia đình năm anh em thường về chăm lo căn nhà thời thơ ấu của họ (mảnh đất đã bán nhưng căn nhà vẫn được giữ lại) nhưng không cảm thấy vui vì vắng mặt người mẹ già. Dẹo đã có thay đổi, anh ta hứa với Lành rằng sẽ bỏ nhậu, tập trung đi làm để đỡ đần vợ con. Một ngày nọ, nhờ đoạn clip của một tiktoker trên mạng, năm anh em biết được bà Hai đang ở trong viện dưỡng lão. Năm gia đình kéo đến viện dưỡng lão cầu xin bà trở về nhà nhưng bà từ chối, bà chỉ xin chụp một bức ảnh cùng tất cả con cháu. Trong phần cảnh hậu danh đề, nhiều tháng sau, năm anh em đã sử dụng 10 tỷ đồng để xây một căn nhà có hình dáng ngộ nghĩnh cho cả năm gia đình ở chung, họ rước bà Hai về sống ở đó và hứa mỗi tháng sẽ về thăm bà một lần.",3,3
3,Nhà bà Nữ,Trấn Thành,475[4][5],2023,"Bộ phim xoay quanh gia đình ba thế hệ của bà Ngọc Nữ, một gia đình làm nghề bán bánh canh cua trong một khu chung cư cũ do ông Liêm quản lý. Bà Ngọc Nữ có người mẹ tên Ngọc Ngà hai đứa con gái là Ngọc Như và Ngọc Nhi. Do có mâu thuẫn với chồng, cả hai ly hôn và chồng bà rời bỏ gia đình, bà Ngọc Nữ đã một mình nuôi lớn hai đứa con nên bà có mối thù cực kỳ lớn đối với những người đàn ông. Khi đứa con gái lớn của bà có chồng là Phú Nhuận đã khiến cho bà Ngọc Nữ vô cùng khó chịu. Chính vì vậy mà bà luôn cố gắng bảo vệ cho đứa con gái út của mình là Ngọc Nhi tránh xa ""cánh mày râu"" nhằm hy vọng đứa con gái không bị tổn thương giống như mình. Khi Ngọc Nhi lớn lên, cô bé có ước muốn được làm đồ gốm nhưng bà Ngọc Nữ lại không coi trọng ngành nghề này nên đã bắt con gái phải học Ngân hàng theo ngành nghề mà bà chọn, còn không thì ở nhà phụ giúp bán bánh canh cua. Không cãi lời, Nhi đã quyết định đi theo con đường mà mẹ đã lựa chọn. Đến tuổi trưởng thành, Nhi bắt đầu đi chơi theo bè bạn và gặp được John qua lời giới thiệu của hai người bạn là Lan và Quỳnh Lý. John là một anh chàng Việt kiều Mỹ cũng trong độ tuổi của Nhi, và là con trong một gia đình doanh nhân giàu có. Cả hai đã gặp và phải lòng nhau nhưng đều bị hai bên gia đình ngăn cấm. Ngọc Nhi đã thông đồng với Phú Nhuận và bà ngoại là Ngọc Ngà để được đi chơi với John trong một thời gian dài. Nhưng ngày hôm sau, sự việc đã bị phơi bày. Sau khi phát hiện Ngọc Nhi có bầu, bà Ngọc Nữ đã đến phá sự nghiệp làm ăn của gia đình John. Ở tuổi mới lớn, sau khi bị mẹ mắng, Ngọc Nhi đã bỏ nhà ra đi và John cũng tương tự. Cả hai đã ở cạnh nhau trong suốt quãng thời gian dài. Tuy nhiên, do còn trẻ, cả hai không hiểu nhau và nhiều mâu thuẫn đã bắt đầu xảy ra. John đã quyết định bỏ đi, còn Nhi thì quay về nhà mẹ sau một cuộc cãi vã vì bất đồng quan điểm. Trong khi đó, sau việc liên tục bị chèn ép từ phía vợ mình là Ngọc Như và mẹ vợ là bà Ngọc Nữ, Phú Nhuận đã đi tìm những thú vui bên ngoài nhưng bị vợ mình phát hiện sau đó. Khi vợ mình hỏi, anh đã quyết định ly hôn do không chịu nổi cảnh phải bị chèn ép trong gia đình, không có tiếng nói và sự tôn trọng mà gia đình bên vợ dành cho. Cùng lúc đó, trên đường Nhi về nhà mẹ ruột, John đã gọi điện cho Nhi với hi vọng mong cô nàng quay lại, nhưng Nhi đã bị cướp giật điện thoại và sảy thai. Sau hàng loạt những biến cố, Nhi và mẹ cô đã bắt đầu hiểu nhau hơn. Bà Nữ đã quyết định phá bỏ rào cản bằng việc kết hôn với ông Liêm, chủ khu chung cư trước sự quan tâm hàng ngày của ông dành cho bà. Còn John đã cố gắng níu kéo lại tình đầu của mình nhưng bị thất bại, do Nhi đã quyết định mở lòng với người bạn của John là Quỳnh Lý.",6,1
4,Bố già,Trấn ThànhVũ Ngọc Đãng,427[6],2021,"Tại một xóm lao động nghèo tại Sài Gòn, có bốn anh em Giàu, Sang, Phú và Quý. Trong đó, Ba Sang là cha đơn thân, một mình nuôi hai con Quắn và Bù Tọt. Quắn là một YouTuber kiếm tiền từ những lượt xem trên YouTube. Anh ta có sở thích sưu tập những món hàng hiệu đắt tiền. Sống gần nhà cha con ông Sang là bà Cẩm Lệ, chủ một cửa hiệu may đồ. Bà Lệ tỏ ra rất thân thiết với gia đình ông Sang và thường xuyên giúp đỡ họ. Trong bữa tiệc mừng con trai là Bình Lợi được thăng chức, bà Hai Giàu nói vài câu khiến Quắn không vui mà bỏ đi. Một lúc sau, Út Quý xuất hiện trong bộ dạng say xỉn và cãi nhau với những người trong bữa tiệc. Trong lúc xô xát, Quý vô tình đập chai bia vào đầu ông Sang, làm ông bị thương. Hôm sau, ông Sang và Bù Tọt đến nhà Tư Phú uống nước. Tại đây, vợ Phú là thím Ánh thắc mắc về việc ông Sang cưu mang bé Bù Tọt, khiến bà Cẩm Lệ đứng gần đó tức giận. Bà Giàu sau đó cũng có mặt, nhắc ông Sang sớm trả số tiền ông mượn của bà trước đó, đồng thời khuyên ông bán căn nhà đang ở cho mình. Bù Tọt đem chuyện này về kể với Quắn. Dứt lời, Quắn mang vội một xấp tiền sang trả cho bà Giàu. Nửa đêm, đám người cho vay nặng lãi dẫn theo Út Quý đến nhà Ba Sang, đe dọa nếu không trả tiền chúng sẽ chặt một ngón tay của Quý. Mặc dù Quắn đã ra sức ngăn cản, nhưng vì nghĩ đến tình nghĩa gia đình nên ông Sang đã đem 10.000.000 VNĐ giao cho bọn chúng. Mấy ngày sau, Bình Lợi tìm đến Quắn, gợi ý để nó nên mua nhà chung cư để ở. Tuy tỏ vẻ không quan tâm, nhưng sau đó Quắn đã lén giấu ông Sang để đặt cọc tiền mua căn hộ chung cư. Anh ta đem chuyện này về thuyết phục cha, khuyên ông cứ lên chung cư ở một thời gian, nếu thấy không hợp có thể dọn về. Trong ngày đầu tiên dọn lên chung cư, ông Sang đã mời những người họ hàng của mình đến thăm căn nhà. Tại đây, Quắn nghi ngờ Quý lấy trộm của mình 30.000.000 VNĐ. Việc này khiến gia đình ông Sang và những người họ hàng nảy sinh mâu thuẫn. Quắn cãi nhau với thím Ánh và mẹ con bà Giàu, khiến những người này bỏ về. Ông Sang thấy vậy, tức giận quá mức nên đã đưa Bù Tọt cùng rời khỏi đó. Một lát sau, bà Cẩm Lệ xuất hiện, tặng Quắn một túi quà, đồng thời bảo anh ta nên tìm cơ hội nói lời xin lỗi cha mình. Vài ngày sau, có một người phụ nữ đến gặp ông Sang, tự nhận là mẹ ruột của Bù Tọt, yêu cầu ông Sang đưa cho cô ta một số tiền. Yêu cầu không được đáp ứng, người phụ nữ này lên mạng, xưng là Trúc Nhàn, người yêu ngày xưa của Quắn, tiết lộ rằng Bù Tọt là con chung của hai người. Tức giận, Quắn gọi điện cho ông Sang, chỉ trích ông vì chuyện cưu mang Bù Tọt mà ảnh hưởng đến sự nghiệp mà anh ta đang có. Tuy nhiên, ông Sang đã khẳng định rằng Bù Tọt chính là con ruột của Quắn, và chính ông là người đã giấu giếm không cho anh ta biết. Vụ bê bối này khiến sự nghiệp của Quắn lao dốc. Anh ta phải xoay xở khắp nơi để đền bù tiền cho các hợp đồng. Biết chuyện, ông Sang đem căn nhà mình đang ở bán cho bà Giàu. Một phần số tiền ông dùng để giúp Quắn, phần còn lại ông mua một đôi hoa tai tặng cho bà Cẩm Lệ. Sau khi biết tin cha bán căn nhà, Quắn cũng bán luôn căn hộ chung cư của mình rồi mang tiền đến nhà bà Cẩm Lệ, định bụng trả lại cho ông Sang nhưng bị ông khước từ. Ngay sau khi Quắn rời đi, ông Sang bất ngờ ngất xỉu và được đưa vào bệnh viện. Kết quả xét nghiệm cho thấy ông bị suy thận giai đoạn cuối và buộc phải ghép thận. Quắn yêu cầu được dùng thận của mình để cứu cha nhưng ông Sang từ chối để làm nên lý do bị bệnh tim. Cùng đường, Quắn đến tìm vợ chồng Tư Phú và mẹ con bà Giàu nhờ giúp đỡ nhưng mọi người đều từ chối. May thay, Quý xuất hiện và bằng lòng dùng thận của mình ghép cho ông Sang. Trước ngày phẫu thuật, ông Sang thổ lộ lòng mình với bà Cẩm Lệ và được bà đồng ý. Không may, Quý sau đó gặp phải một nhóm người lạ mặt và bị chúng giết. Tranh cãi sau đó nổ ra giữa ông Sang và Quắn về việc ghép thận. Vì không muốn liên lụy con trai, ông Sang bỏ nhà ra đi và tá túc ở một ngôi chùa. Để chuẩn bị cho cái chết của mình, ông Sang đi đặt mua quan tài và chụp ảnh thờ. Trong lúc đó, một mình Quắn vừa phải nuôi Bù Tọt, vừa đi tìm cha. Trong một buổi phát trực tiếp trên kênh YouTube của mình, Quắn thổ lộ mọi chuyện của gia đình mình với khán giả, đồng thời gửi lời xin lỗi đầu tiên đến ông Sang ngay trên sóng trực tiếp. Ông Sang nghe được những lời con trai nói thông qua màn hình điện thoại, cảm động và quyết định quay về làm phẫu thuật. Cuộc phẫu thuật tuy thất bại, ông Sang không qua khỏi nhưng Quắn cũng nhận ra được nhiều điều trong cuộc sống. Anh ta và Bù Tọt cùng nhau sống tiếp, tập làm quen với cuộc sống mà không có ông Sang bên cạnh. Bộ phim kết thúc với thông điệp rằng: ""Chúng ta có nhiều thời gian, bố mẹ thì không, hãy chọn yêu thương khi còn có thể!""",1,1
5,Bộ tứ báo thủ,Trấn Thành,332,2025,"Bộ phim Bộ Tứ Báo Thủ thuộc thể loại hài – tình cảm, kể về nhóm người trong gia đình (Cậu Mười Một, Dì Bốn, Chét-Xi-Cà, Cô Kiều) chuyên giải quyết những vấn đề rắc rối của gia đình. Họ được Quỳnh Anh nhờ giúp đỡ khi cô nghi ngờ chồng mình, Quốc Anh, ngoại tình với cô nàng Karen. Nhóm này cùng nhau lên kế hoạch để vạch trần sự thật, dẫn đến nhiều tình huống dở khóc dở cười, đồng thời gửi gắm thông điệp ý nghĩa về tình yêu và gia đình. ",1,1
6,Avengers: Hồi kết,Anthony RussoJoe Russo,285[7],2019,"Phim khởi đầu sau sự kiện Infinity War năm 2018, Clint Barton (Hawkeye) cùng vợ con đi dã ngoại trong thời gian bị quản thúc. Ngay khi anh rời mắt khỏi gia đình mình một lát, họ tan biến thành tro bụi do là nạn nhân của sự kiện Búng tay.[a] Ba tuần sau, Carol Danvers (Captain Marvel) tìm thấy Tony Stark (Iron Man) đang bị thương và Nebula trôi dạt ngoài không gian trên con tàu vũ trụ Benatar sắp hết oxy, cô đưa họ về Trái Đất gặp lại những anh hùng còn sống sót khác, bao gồm Natasha Romanoff (Black Widow), Bruce Banner (Hulk), Steve Rogers (Captain America), Thor, Pepper Potts và James Rhodes (War Machine) và Rocket. Cú búng tay đã làm bay màu hầu hết các thành viên mới của Đội Avengers, chỉ còn lại những thành viên chủ chốt nêu trên. Họ kế hoạch lấy lại những Viên đá Vô cực từ Thanos với ý định sử dụng chúng để đảo ngược sự kiện Búng tay. Dựa vào sóng gamma, họ tìm thấy Thanos tại một hành tinh xa xôi nơi mà hắn lại sử dụng các viên đá vào hai tuần trước. Tony Stark ở lại Trái Đất dưỡng thương, cả nhóm lên kế hoạch tiến công và dễ dàng bắt được Thanos nay đã suy yếu, nhưng hắn đã phá hủy các viên đá để không ai sử dụng chúng được nữa. Trong cơn tức giận, Thor chém đầu Thanos, hành động đã trở nên vô nghĩa vì được thực hiện quá muộn. Năm năm sau, Trái Đất vẫn hoang tàn. Phần lớn anh hùng đã mỗi người một ngả, trong đó Danvers bay vào vũ trụ để giải quyết các hậu quả Thanos gây ra, còn Barton lấy biệt danh mới là Ronin và truy lùng xã hội đen trên khắp thế giới sau chuyện xảy ra với vợ con anh. Scott Lang (Ant-Man) cũng nằm trong danh sách những người mất tích, nhưng thực tế anh đang bị kẹt trong lượng tử giới. Sau khi tình cờ được giải thoát khỏi Lượng tử Giới nhờ một con chuột vô thức bước lên các nút điều khiển, Scott tìm hiểu nhanh chóng sự kiện búng tay, rồi đến trụ sở Avengers gặp Natasha và Steve. Từ trải nghiệm của bản thân, Scott cho biết năm năm vừa qua đối với anh chỉ là năm giờ bị mắc kẹt và du hành thời gian là có thể xảy ra. Cả ba tìm đến Tony, giờ đã kết hôn với Potts và có cô con gái nhỏ tên Morgan. Họ nêu giả thuyết quay lại quá khứ để thu thập các Viên đá Vô cực trước khi Thanos lấy được chúng. Stark từ chối vì lo sợ rủi ro xảy ra sẽ giết cả đội (vốn là gia đình mới trong tâm trí anh), cũng như sợ các rủi ro ảnh hưởng đến vợ con của mình. Vì vậy cả ba đành gặp Bruce, nay đã hợp nhất ý thức của mình với ngoại hình của Hulk và không còn phải trốn tránh xã hội. Hiểu biết về Lượng Tử Giới nằm ngoài chuyên môn khiến Bruce tạo ra cỗ máy có tác dụng ngược là đưa thời gian qua Scott. Cả nhóm trở nên bế tắc. Được Potts động viên và nhớ lại bức ảnh chụp chung với Peter Parker cầm ngược bằng, Stark chế tạo thành công thiết bị để giải trừ nghịch lý nói trên, đồng thời trao lại chiếc khiên được sửa sang cho Rogers. Bruce bác bỏ đề xuất về quá khứ giết ""em bé Thanos"" của Rhodes, giải thích rằng việc thay đổi quá khứ sẽ không thay đổi hiện tại mà chỉ vô ích, vì chẻ nhánh những dòng thời gian song song. Bruce và Rocket đến Tønsberg, Na Uy, còn được gọi là New Asgard đang có những người Asgard còn sống sót định cư, để tìm Thor, giờ là một gã nghiện bia thừa cân và ham chơi điện tử với Korg và Miek. Tại Tokyo, Romanoff khuyên bảo Barton trở về Mỹ sau khi chứng kiến anh tàn sát một tổ chức Yakuza. Các thành viên Biệt đội Avengers tập hợp và chia nhóm để quay lại quá khứ và thu thập đá Vô cực.[b] Tất cả sự kiện sau diễn ra cùng lúc và chỉ trong vòng năm giây ở dòng thời gian chính: Sau khi trở về hiện tại cùng sáu Viên đá, những người còn lại mới hay tin Romanoff đã hi sinh nên đã dành thời gian mặc niệm cô ở bờ hồ. Sau khi bình tĩnh trở lại, họ lắp những viên đá vào một chiếc Găng tay Nano do Tony chế tạo. Bruce, người duy nhất vừa chịu được bức xạ gamma vừa có tinh thần đủ vững vàng, búng tay thành công để hồi sinh những người đã bị xóa sổ, mặc dù chiếc găng lẫn cánh tay phải của anh chịu tổn thương nặng từ các viên đá ngay khi đeo găng. Đúng lúc đó, Nebula quá khứ sử dụng cỗ máy thời gian để đưa Thanos và binh đoàn của hắn ở năm 2014 đến hiện tại. Trụ sở Avengers nhanh chóng bị phá hủy, và trong đống đổ nát, Barton tìm được chiếc Găng tay cùng sáu Viên đá. Nebula hiện tại thuyết phục Gamora quá khứ chống lại Thanos, rồi đành tiêu diệt bản thể quá khứ của mình vì cô ta không nghe lời. Thanos, giờ đây đã đổi ý, quyết định sử dụng các Viên đá để hủy diệt cả vũ trụ và tạo ra một vũ trụ mới không chút tàn dư của cái cũ. Ba anh hùng đầu tiên thoát khỏi đống đổ nát là Steve, Tony và Thor hợp sức tấn công Thanos nhưng bị hắn áp đảo khá dễ dàng. Trong lúc tình hình đang nguy cấp, Strange, Wong cùng đội quân pháp sư xuất hiện, họ triệu tập các siêu anh hùng và các đội quân của Wakanda, Asgard, Ravagers, gồm tất cả những người sống sót hoặc đã được hồi sinh, cộng thêm Scott hóa khổng lồ và những người được anh giải cứu bao gồm Banner, Rhodes và Rocket. Danvers từ vũ trụ quay về đã phá hủy con tàu của Thanos, tiếp viện cho Avengers chống lại Thanos và binh đoàn của hắn. Sau một trận chiến dai dẳng và kịch liệt, với việc phần lớn siêu anh hùng đang bận chiến đấu không thể chống đỡ nổi đoàn quân xâm lăng. Thanos cướp được chiếc găng, nhưng trong nỗ lực giằng co tưởng như vô ích, Tony đã lén dịch chuyển các viên đá vào tay bộ giáp Mark LXXXV của mình. Anh búng tay xóa sổ Thanos cùng toàn bộ tay sai của hắn, nhưng sức mạnh quá lớn của các viên đá về sau cũng cướp đi mạng sống của anh. Sau đám tang của Tony Stark, Thor nhường ngai vàng của Asgard cho Valkyrie và gia nhập nhóm Vệ binh dải Ngân Hà (Guardians of the Galaxy). Valkyrie về sau trở thành thị trưởng thị trấn New Asgard. Quill bắt đầu đi tìm Gamora[g]. Steve đem trả các Viên đá và cây búa Mjolnir về đúng với vị trí của chúng trong quá khứ, rồi quyết định sống nốt quá khứ mà anh đã bỏ lỡ sau khi bị đóng băng vào năm 1945, bằng cách chui vào một dòng thời gian lỗi. Ở hiện tại, Steve, nay đã già và trở về tử quá khứ, trao chiếc khiên từ quá khứ của mình cho Sam Wilson. Kết thúc phim là cảnh hạnh phúc của Steve trong dòng thời gian nêu trêu, khi được khiêu vũ cùng với người vợ đã cưới là Peggy Carter rồi họ hôn nhau. Sau phần danh đề, đặc biệt là phân đoạn tri ân sáu thành viên đầu tiên của đội Avengers, là vài tiếng rèn kim loại vang lên trong lúc logo Marvel Studios xuất hiện, đây là âm thanh khi Stark đang rèn bộ áo giáp Mark I, như một sự tưởng niệm với anh.",5,5
